task_type	prefix	duration	video	question	answer	candidates	index	prediction	score
plotQA	video/1_plotQA	246.0	movie101_66.mp4	What color is the main male character in the video?	Yellow	['Yellow', 'Red', 'Green', 'Blue']	0	(C) Green	0.0
plotQA	video/1_plotQA	246.0	movie101_66.mp4	What color is the ball the man throws out at the beginning of the video?	Green	['White', 'Black', 'Red', 'Green']	368	(C) Red	0.0
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	How did the cartoon jellyfish leave the mire?	Carried by the cartoon turtle	['Carried by the cartoon shrimp', 'Carried by the cartoon turtle', 'Carried by the cartoon catfish', 'Carried by the cartoon seahorse']	1	(A) Carried by the cartoon shrimp	0.0
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	What caught the cartoon turtle?	Giant octopus	['Cartoon shrimp', 'Cartoon catfish', 'Cartoon snake', 'Giant octopus']	369	(A) Cartoon shrimp	1.0
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	What stopped the cartoon octopus from attacking?	The golden light emitted by the cartoon carp	['The green light emitted by the cartoon carp', 'The golden light emitted by the cartoon carp', 'The blue light emitted by the cartoon carp', 'The red light emitted by the cartoon carp']	520	(B) The golden light emitted by the cartoon carp	0.0
topic_reasoning	video/7_topic_reasoning	400.0	xiaoliyu_6.mp4	What is the relationship between the cartoon characters of carp, jellyfish, seahorse, and turtle?	Friends	['Friends', 'Lovers', 'Teacher-student', 'Enemies']	1985	(A) Friends	1.0
topic_reasoning	video/7_topic_reasoning	400.0	xiaoliyu_6.mp4	What is the living environment of the giant octopus?	Dark and lightless	['Bright', 'Dark and lightless', 'Spacious', 'Sunny']	2038	(B) Dark and lightless	1.0
plotQA	video/1_plotQA	748.0	movie101_63.mp4	At the beginning of the video, what kind of vehicle is the man riding?	Ox cart	['Camel cart', 'Donkey cart', 'Horse carriage', 'Ox cart']	2	(C) Horse carriage	1.0
plotQA	video/1_plotQA	748.0	movie101_63.mp4	What animal is lifted up at the end of the video?	Chicken	['Snake', 'Fish', 'Chicken', 'Duck']	159	(C) Chicken	1.0
plotQA	video/1_plotQA	748.0	movie101_63.mp4	What are the group of people in white blowing?	Bull horn	['Suona', 'Trumpet', 'Bull horn', 'Flute']	521	(C) Bull horn	1.0
plotQA	video/1_plotQA	605.0	movie101_58.mp4	At the end of the video, what happens to the van?	Rolls down the cliff and catches fire	['Rolls down the cliff and catches fire', 'Breaks down', 'Collides with another car', 'Gets driven away']	3	(A) Rolls down the cliff and catches fire	0.0
plotQA	video/1_plotQA	605.0	movie101_58.mp4	What is the man's reaction after the reporter asks several questions in a row?	Gets angry and ends the interview	['Pleased', 'Happy', 'Gets angry and ends the interview', 'Sad']	371	(C) Gets angry and ends the interview	1.0
plotQA	video/1_plotQA	605.0	movie101_58.mp4	What is the little boy doing at the beginning of the video?	Drawing	['Drawing', 'Writing', 'Playing piano', 'Reading']	392	(B) Writing	1.0
plotQA	video/1_plotQA	328.0	movie101_53.mp4	At the beginning of the video, why does the woman in red change from long hair to short hair?	The man in the blue jacket takes off the woman's wig	"['The woman takes off her own wig', 'The woman cuts her own hair', ""The man in the blue jacket takes off the woman's wig"", ""The man in the blue jacket cuts the woman's hair short""]"	4	(D) The man in the blue jacket cuts the woman's hair short	0.0
plotQA	video/1_plotQA	328.0	movie101_53.mp4	At the end of the video, what is the activity of the man in the blue jacket after entering the room?	Sitting alone on the bed making a phone call	['Sitting alone at the table drinking', 'Sitting alone at the table eating', 'Sitting alone on the bed making a phone call', 'Sitting alone at the table playing on the computer']	161	(C) Sitting alone on the bed making a phone call	0.0
plotQA	video/1_plotQA	328.0	movie101_53.mp4	The change in indoor activities of the man in the blue jacket and the woman in the red sweater	Frolicking and messing around turns into hugging and kissing	['Frolicking and messing around turns into hugging and kissing', 'Drinking together', 'Watching TV together', 'Eating together']	523	(A) Frolicking and messing around turns into hugging and kissing	0.0
plotQA	video/1_plotQA	457.0	movie101_37.mp4	How many people are at the staircase at the beginning of the video?	Two	['One', 'Two', 'Three', 'Four']	5	(B) Two	0.0
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the clothes of the person wearing a floral hat at the staircase in the video?	Green	['Purple', 'Blue', 'Red', 'Green']	85	(C) Red	1.0
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the clothes of the person wearing a plastic bag on their head at the staircase at the beginning of the video?	Red	['White', 'Black', 'Red', 'Green']	188	(C) Red	0.0
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the car parked on the road in the video?	Orange	['Orange', 'Blue', 'Green', 'Purple']	256	(B) Blue	0.0
