index	video	video_path	duration	domain	candidates	sub_category	task_type	subtitle_path	question	answer	prediction	score
0	fFjv93ACGo8	./video/fFjv93ACGo8.mp4	short	Knowledge	['A. Apples.', 'B. Candles.', 'C. Berries.', 'D. The three kinds are of the same number.']	Humanity & History	Counting Problem	./subtitle/fFjv93ACGo8.srt	When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?	C	A	0.0
1	fFjv93ACGo8	./video/fFjv93ACGo8.mp4	short	Knowledge	['A. It is a news report that introduces the history behind Christmas decorations.', 'B. It is a documentary on the evolution of Christmas holiday recipes.', 'C. It is a travel vlog exploring Christmas markets around the world.', 'D. It is a tutorial on DIY Christmas ornament crafting.']	Humanity & History	Information Synopsis	./subtitle/fFjv93ACGo8.srt	What is the genre of this video?	A	A	1.0
2	fFjv93ACGo8	./video/fFjv93ACGo8.mp4	short	Knowledge	['A. 1.', 'B. 4.', 'C. 2.', 'D. 3.']	Humanity & History	Counting Problem	./subtitle/fFjv93ACGo8.srt	How many red socks are above the fireplace at the end of this video?	D	D	1.0
3	N1cdUjctpG8	./video/N1cdUjctpG8.mp4	short	Knowledge	['A. Inkstone.', 'B. Niche.', 'C. Jade.', 'D. Sacrificial table.']	Humanity & History	Object Recognition	./subtitle/N1cdUjctpG8.srt	Which of the following features/items is not discussed in the video in relation to the tomb?	C	C	1.0
4	N1cdUjctpG8	./video/N1cdUjctpG8.mp4	short	Knowledge	"[""A. Because it's from Ming Dynasty and of specific archaeological significance."", 'B. Because a new railway line will be built nearby.', 'C. Because there were treasures inside the tomb.', 'D. Highway realignment.']"	Humanity & History	Action Reasoning	./subtitle/N1cdUjctpG8.srt	Which of the following reasons motivated the archaeologists to excavate the tomb?	D	A	0.0
5	N1cdUjctpG8	./video/N1cdUjctpG8.mp4	short	Knowledge	['A. 4.', 'B. 9.', 'C. 5.', 'D. 13.']	Humanity & History	Counting Problem	./subtitle/N1cdUjctpG8.srt	How many porcelain jars were discovered in the niches located in the primary chamber of the tomb?	B	B	1.0
6	HIjX8OPuf-w	./video/HIjX8OPuf-w.mp4	short	Knowledge	['A. 3.', 'B. 4.', 'C. 2.', 'D. 5.']	Humanity & History	Counting Problem	./subtitle/HIjX8OPuf-w.srt	How many national flags appear in the video?	B	A	0.0
7	HIjX8OPuf-w	./video/HIjX8OPuf-w.mp4	short	Knowledge	['A. Beef with spices came from Russia to Germany.', 'B. The steak began to be sandwiched between two pieces of bread.', 'C. Steak burgers spread throughout the United States.', 'D. The standardization of hamburgers.']	Humanity & History	Object Recognition	./subtitle/HIjX8OPuf-w.srt	What is the video telling when the burger placed in the upper right corner at the end of the video first appears?	C	C	1.0
8	HIjX8OPuf-w	./video/HIjX8OPuf-w.mp4	short	Knowledge	['A. Mongolia.', 'B. Russia.', 'C. Germany.', 'D. United States.']	Humanity & History	Object Reasoning	./subtitle/HIjX8OPuf-w.srt	In which country is the food featured in the video recognized worldwide?	D	D	1.0
9	HwnB8aCn8yE	./video/HwnB8aCn8yE.mp4	short	Knowledge	['A. Ramapithecus.', 'B. Dryopithecus.', 'C. Ardipithecus Ramidus.', 'D. Homo Sapiens.']	Humanity & History	Temporal Perception	./subtitle/HwnB8aCn8yE.srt	According to the video, which of the following is considered the earliest stage of human evolution?	B	B	1.0
10	HwnB8aCn8yE	./video/HwnB8aCn8yE.mp4	short	Knowledge	['A. Dryopithecus.', 'B. Ramapithecus.', 'C. Ardipithecus Ramidus.', 'D. Homo Habilis.']	Humanity & History	Object Recognition	./subtitle/HwnB8aCn8yE.srt	According to the video, in which state did human's ancestors first begin to walk on two legs?	B	C	0.0
11	HwnB8aCn8yE	./video/HwnB8aCn8yE.mp4	short	Knowledge	['A. Dryopithecus.', 'B. Homo Sapiens.', 'C. Ardipithecus Ramidus.', 'D. Homo Sapiens Neanderthalensi.']	Humanity & History	Object Recognition	./subtitle/HwnB8aCn8yE.srt	Given the information provided by the video, during which stage of human evolution did the regression of body hair occur rapidly?	D	B	0.0
12	24i4ncHuf6A	./video/24i4ncHuf6A.mp4	short	Knowledge	['A. Three.', 'B. Two.', 'C. One.', 'D. Four.']	Humanity & History	Counting Problem	./subtitle/24i4ncHuf6A.srt	According to the video, how many individuals were in the car when Archduke Franz Ferdinand was assassinated?	A	A	1.0
13	24i4ncHuf6A	./video/24i4ncHuf6A.mp4	short	Knowledge	"['A. Militarisim.', 'B. The assasination of Archduke Franze Fredinand.', ""C. King Edward III of England's claim to the French throne."", ""D. Germany's blitzkrieg against Poland.""]"	Humanity & History	Action Reasoning	./subtitle/24i4ncHuf6A.srt	What's the trigger that set off the war mentioned in the video?	B	B	1.0
14	24i4ncHuf6A	./video/24i4ncHuf6A.mp4	short	Knowledge	['A. It was organized by the Black Hand in Serbia.', 'B. Ferdinand was sitting on the left side of the car.', 'C. Ferdinand was wearing a white hat.', 'D. The killer was wearing black suit.']	Humanity & History	Attribute Perception	./subtitle/24i4ncHuf6A.srt	Which of the following options is incorrect regarding the events in Sarajevo depicted in the video?	C	B	0.0
15	40BlVzjxu-I	./video/40BlVzjxu-I.mp4	short	Knowledge	['A. Turkey.', 'B. Moose.', 'C. Moon cake.', 'D. Shamrock.']	Humanity & History	Object Reasoning	./subtitle/40BlVzjxu-I.srt	What is one of the symbols of the festival that is introduced by the video?	D	D	1.0
16	40BlVzjxu-I	./video/40BlVzjxu-I.mp4	short	Knowledge	"['A. They began to center around drinking and celebrating the festival.', 'B. St. Patrick moved to America.', ""C. They celebrated St. Patrick's birth instead."", 'D. They attended the church and gather for feasts.']"	Humanity & History	Temporal Reasoning	./subtitle/40BlVzjxu-I.srt	What happened when Irish imiggrants brought the tradition of St. Patrick's Day to America?	A	A	1.0
17	40BlVzjxu-I	./video/40BlVzjxu-I.mp4	short	Knowledge	['A. Hosting large parades.', 'B. Dressing in green and dyeing the river to green.', 'C. Drinking a lot.', 'D. Planting shamrocks.']	Humanity & History	Action Recognition	./subtitle/40BlVzjxu-I.srt	What is special about the celebration in New York according to the video?	A	A	1.0
18	0ay2Qy3wBe8	./video/0ay2Qy3wBe8.mp4	short	Knowledge	['A. By burning a piece of cloth.', 'B. By lighting a torch.', 'C. By smoking.', 'D. By lighting a bonefire.']	Humanity & History	Action Recognition	./subtitle/0ay2Qy3wBe8.srt	How is the smoke generated by the man depicted in the video?	D	D	1.0
19	0ay2Qy3wBe8	./video/0ay2Qy3wBe8.mp4	short	Knowledge	['A. Telephone.', 'B. Homing pigeon.', 'C. Telegraph.', 'D. Pony express.']	Humanity & History	Temporal Reasoning	./subtitle/0ay2Qy3wBe8.srt	What kind of communication is listed before Semaphore?	D	D	1.0
20	0ay2Qy3wBe8	./video/0ay2Qy3wBe8.mp4	short	Knowledge	['A. BTW...you got something in your teeth!', 'B. Dude! You gotta come toBigStuf Camps!', 'C. Smoke Sig 2.0.', 'D. Last but not least.']	Humanity & History	OCR Problems	./subtitle/0ay2Qy3wBe8.srt	What is the specific sentence in the smart phone that makes the man embarrassed?	A	A	1.0
21	_tvmjsKXTu8	./video/_tvmjsKXTu8.mp4	short	Knowledge	['A. Brown.', 'B. Blue.', 'C. Black.', 'D. Pink.']	Humanity & History	Attribute Perception	./subtitle/_tvmjsKXTu8.srt	"In the video, what color pen did the author use when he wrote ""guitar"" for the second time?"	D	A	0.0
22	_tvmjsKXTu8	./video/_tvmjsKXTu8.mp4	short	Knowledge	['A. 2.', 'B. 7.', 'C. 3.', 'D. 11.']	Humanity & History	Counting Problem	./subtitle/_tvmjsKXTu8.srt	How many different guitar-shaped instruments are there in the video?	B	C	0.0
23	_tvmjsKXTu8	./video/_tvmjsKXTu8.mp4	short	Knowledge	['A. An advertisement for a music software.', 'B. A tutorial on how to practice guitar on electronic devices.', 'C. The history of guitar software on electronic devices.', 'D. An advertisement for a tablet computer.']	Humanity & History	Information Synopsis	./subtitle/_tvmjsKXTu8.srt	What does the second half of the video show?	A	A	1.0
24	sUDY-SMREtA	./video/sUDY-SMREtA.mp4	short	Knowledge	['A. White.', 'B. Blue.', 'C. Brown.', 'D. Yellow.']	Humanity & History	Attribute Perception	./subtitle/sUDY-SMREtA.srt	Which color of clothes is QuYuan wearing in the video?	A	A	1.0
25	sUDY-SMREtA	./video/sUDY-SMREtA.mp4	short	Knowledge	['A. January 1th.', 'B. May 5th.', 'C. September 9th.', 'D. May 15th.']	Humanity & History	Attribute Perception	./subtitle/sUDY-SMREtA.srt	Based on the video, which day does the festival fall on the lunar calendar?	B	B	1.0
26	sUDY-SMREtA	./video/sUDY-SMREtA.mp4	short	Knowledge	['A. Because people love Zongzi.', 'B. Because he committed suicide by drowing himself in Miluo River.', 'C. Because he brought peace and prosperity to the state.', 'D. Because he was exile.']	Humanity & History	Action Reasoning	./subtitle/sUDY-SMREtA.srt	According to the video, which of the following is the main reason why people commemorate Qu Yuan?	C	B	0.0
27	PSt_op3fQck	./video/PSt_op3fQck.mp4	short	Knowledge	['A. The history of intercultural conflicts and disputes.', 'B. Quick ways to grasp the fundamentals of intercultural communication. understanding.', 'C. Techniques for mastering a foreign language in a short period of time.', 'D. Strategies for resolving international political conflicts.']	Humanity & History	Information Synopsis	./subtitle/PSt_op3fQck.srt	What can be learned from this video?	C	B	0.0
28	PSt_op3fQck	./video/PSt_op3fQck.mp4	short	Knowledge	['A. A flower.', 'B. A coconut tree.', 'C. A flying bird.', 'D. None of the above.']	Humanity & History	Object Recognition	./subtitle/PSt_op3fQck.srt	What is the pattern on the clothing of the staff who is behaving informally at the airline counter?	A	B	0.0
29	PSt_op3fQck	./video/PSt_op3fQck.mp4	short	Knowledge	['A. The White House.', 'B. The Big Ben.', 'C. The Egyptian Pyramids.', 'D. The Eiffel Tower.']	Humanity & History	Object Recognition	./subtitle/PSt_op3fQck.srt	At the end of the animation, which place does not the copilot travel to?	B	A	0.0
30	OE5S-NbNsro	./video/OE5S-NbNsro.mp4	short	Knowledge	['A. Hip hop.', 'B. Jazz.', 'C. Ballet.', 'D. Folk dance.']	Literature & Art	Action Reasoning	./subtitle/OE5S-NbNsro.srt	What is the kind of the dance in the video?	C	C	1.0
31	OE5S-NbNsro	./video/OE5S-NbNsro.mp4	short	Knowledge	['A. White.', 'B. Black.', 'C. Navy blue.', 'D. Dark purple.']	Literature & Art	Attribute Perception	./subtitle/OE5S-NbNsro.srt	What's the color of the cosmos introduced by the video?	B	A	0.0
32	OE5S-NbNsro	./video/OE5S-NbNsro.mp4	short	Knowledge	['A. Kneel down on one knee and lean back.', 'B. Passe and then chasse.', 'C. Releve and then pirouette.', 'D. Passe and then Grand jete.']	Literature & Art	Action Recognition	./subtitle/OE5S-NbNsro.srt	What are the moves in the last scene of this dance?	A	A	1.0
33	qvwfWyU9Gfc	./video/qvwfWyU9Gfc.mp4	short	Knowledge	"['A. Because the banana looks tasty.', 'B. Because he considered the process of eating a banana is art.', ""C. Because he didn't think the  banana worth $120,000."", 'D. Because he wanted to followed the man who ate a banana in a exhibition in 2019.']"	Literature & Art	Action Reasoning	./subtitle/qvwfWyU9Gfc.srt	Based on the video, which of the following describes the reason why the student ate the banana?	B	B	1.0
34	qvwfWyU9Gfc	./video/qvwfWyU9Gfc.mp4	short	Knowledge	['A. He ate a banana in exhibition again in 2019.', 'B. He throwed the skin of banana.', 'C. He reattached the skin of banana using the same tape.', 'D. The action of eating a banana was considered art.']	Literature & Art	Temporal Reasoning	./subtitle/qvwfWyU9Gfc.srt	What did the student do after eating the banana in the video?	C	C	1.0
35	qvwfWyU9Gfc	./video/qvwfWyU9Gfc.mp4	short	Knowledge	['A. Green.', 'B. Black.', 'C. Yellow.', 'D. Gray.']	Literature & Art	Attribute Perception	./subtitle/qvwfWyU9Gfc.srt	What's the color of the tape in the video?	D	D	1.0
36	5wLv3pCqZ9o	./video/5wLv3pCqZ9o.mp4	short	Knowledge	['A. Water.', 'B. Cork.', 'C. Shells.', 'D. Star.']	Literature & Art	Spatial Perception	./subtitle/5wLv3pCqZ9o.srt	Which of the following is visible in the background of the video when the miniature bottle is shown empty?	C	C	1.0
37	5wLv3pCqZ9o	./video/5wLv3pCqZ9o.mp4	short	Knowledge	['A. Shell.', 'B. Glue.', 'C. Blue Food Dye.', 'D. Oil.']	Literature & Art	Action Reasoning	./subtitle/5wLv3pCqZ9o.srt	According to the video, which of the following ingredients is not used in the artwork?	A	A	1.0
38	5wLv3pCqZ9o	./video/5wLv3pCqZ9o.mp4	short	Knowledge	['A. Applied glue to cork.', 'B. Added blue food dye.', 'C. Added 1/3 water.', 'D. Put the cork on the bottle.']	Literature & Art	Action Recognition	./subtitle/5wLv3pCqZ9o.srt	What was the next step taken by the operator after filling the bottle with oil?	A	A	1.0
39	uqILuTcux_o	./video/uqILuTcux_o.mp4	short	Knowledge	['A. A tiger.', 'B. A bird.', 'C. A fish.', 'D. A pangolin.']	Literature & Art	Object Recognition	./subtitle/uqILuTcux_o.srt	Which of the following can be identified as Susan White-Oakes' most recent art piece, based on the video?	D	D	1.0
40	uqILuTcux_o	./video/uqILuTcux_o.mp4	short	Knowledge	['A. Silver.', 'B. Iron.', 'C. Bronze.', 'D. Copper.']	Literature & Art	Attribute Perception	./subtitle/uqILuTcux_o.srt	Based on the video, what is Susan White-Oakes' latest art work made of?	D	D	1.0
41	uqILuTcux_o	./video/uqILuTcux_o.mp4	short	Knowledge	['A. She sculptures the legs.', 'B. She attaches the copper scales to the body.', 'C. She decides what size the head should be.', 'D. She shapes the claws.']	Literature & Art	Temporal Reasoning	./subtitle/uqILuTcux_o.srt	What does Susan White-Oakes often do before polishing the whole body?	C	B	0.0
42	eXKE0nAMmg4	./video/eXKE0nAMmg4.mp4	short	Knowledge	['A. A little girl and a red balloon.', 'B. A little boy and a red balloon.', 'C. A little girl and a blue balloon.', 'D. An adult and a blue balloon.']	Literature & Art	Attribute Perception	./subtitle/eXKE0nAMmg4.srt	Which elements are depicted in the painting introduced by the video?	A	A	1.0
43	eXKE0nAMmg4	./video/eXKE0nAMmg4.mp4	short	Knowledge	['A. Someone put a shredder inside the painting.', 'B. The buyer was very happy because it got more worthy.', 'C. It disapeared.', 'D. It shredded into pieces.']	Literature & Art	Action Recognition	./subtitle/eXKE0nAMmg4.srt	Based on the video, what happened when the painting was sold?	D	D	1.0
44	eXKE0nAMmg4	./video/eXKE0nAMmg4.mp4	short	Knowledge	['A. The painting got more expensive because it shredded.', 'B. The buyer put a shredder inside the painting many years ago.', 'C. People in the auction house were stunned when the painting shredded.', 'D. Banksky considered the shredding of painting is part of art.']	Literature & Art	Object Reasoning	./subtitle/eXKE0nAMmg4.srt	Based on the information provided by the video, which of the following statements is not correct?	B	A	0.0
45	5_fXicEnKKk	./video/5_fXicEnKKk.mp4	short	Knowledge	['A. 1998.', 'B. 1889.', 'C. 1899.', 'D. 1988.']	Literature & Art	Attribute Perception	./subtitle/5_fXicEnKKk.srt	When was the painting mentioned in the video painted?	B	B	1.0
46	5_fXicEnKKk	./video/5_fXicEnKKk.mp4	short	Knowledge	"[""A. Van Gogh' tragic life."", ""B. The Van Gogh's artistic attainments."", 'C. The value of the painting.', 'D. The hope that led Van Gogh into success.']"	Literature & Art	Object Reasoning	./subtitle/5_fXicEnKKk.srt	Which of the following elements does not appear in the paintings primarily mentioned in the video?	A	C	0.0
47	5_fXicEnKKk	./video/5_fXicEnKKk.mp4	short	Knowledge	['A. Houses.', 'B. Stars.', 'C. Castle.', 'D. Moon.']	Literature & Art	Object Reasoning	./subtitle/5_fXicEnKKk.srt	"Which of the following elements is not present in the ""Starry Sky""?"	D	C	0.0
48	O0qVPW1fUn4	./video/O0qVPW1fUn4.mp4	short	Knowledge	['A. Three.', 'B. Ten.', 'C. Four.', 'D. Five.']	Literature & Art	Counting Problem	./subtitle/O0qVPW1fUn4.srt	Based on the information provided by the video, what is the maximum number of fingers required to play this piece of music?	C	C	1.0
49	O0qVPW1fUn4	./video/O0qVPW1fUn4.mp4	short	Knowledge	['A. Volume.', 'B. Scale.', 'C. Note.', 'D. Strength of pressing the piano keys.']	Literature & Art	Object Reasoning	./subtitle/O0qVPW1fUn4.srt	What do the characters in this video mean?	B	C	0.0
50	O0qVPW1fUn4	./video/O0qVPW1fUn4.mp4	short	Knowledge	['A. Because it indicates the hand to play them.', 'B. Because it can help to make the video more colorful.', 'C. Because the YouTuber love these two colors.', 'D. Because keys on the special piano are eithor blue or green.']	Literature & Art	Object Reasoning	./subtitle/O0qVPW1fUn4.srt	In this video, why some keys are blue while others are green?	A	A	1.0
