task_type	prefix	duration	video	question	answer	candidates	index	prediction
plotQA	video/1_plotQA	246.0	movie101_66.mp4	What color is the main male character in the video?	Yellow	['Yellow', 'Red', 'Green', 'Blue']	0	(A) Yellow
plotQA	video/1_plotQA	246.0	movie101_66.mp4	What color is the ball the man throws out at the beginning of the video?	Green	['White', 'Black', 'Red', 'Green']	368	(D) Green
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	How did the cartoon jellyfish leave the mire?	Carried by the cartoon turtle	['Carried by the cartoon shrimp', 'Carried by the cartoon turtle', 'Carried by the cartoon catfish', 'Carried by the cartoon seahorse']	1	(D) Carried by the cartoon seahorse
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	What caught the cartoon turtle?	Giant octopus	['Cartoon shrimp', 'Cartoon catfish', 'Cartoon snake', 'Giant octopus']	369	(D) Giant octopus
plotQA	video/1_plotQA	400.0	xiaoliyu_6.mp4	What stopped the cartoon octopus from attacking?	The golden light emitted by the cartoon carp	['The green light emitted by the cartoon carp', 'The golden light emitted by the cartoon carp', 'The blue light emitted by the cartoon carp', 'The red light emitted by the cartoon carp']	520	(B) The golden light emitted by the cartoon carp
topic_reasoning	video/7_topic_reasoning	400.0	xiaoliyu_6.mp4	What is the relationship between the cartoon characters of carp, jellyfish, seahorse, and turtle?	Friends	['Friends', 'Lovers', 'Teacher-student', 'Enemies']	1985	(A) Friends
topic_reasoning	video/7_topic_reasoning	400.0	xiaoliyu_6.mp4	What is the living environment of the giant octopus?	Dark and lightless	['Bright', 'Dark and lightless', 'Spacious', 'Sunny']	2038	(B) Dark and lightless
plotQA	video/1_plotQA	748.0	movie101_63.mp4	At the beginning of the video, what kind of vehicle is the man riding?	Ox cart	['Camel cart', 'Donkey cart', 'Horse carriage', 'Ox cart']	2	(D) Ox cart
plotQA	video/1_plotQA	748.0	movie101_63.mp4	What animal is lifted up at the end of the video?	Chicken	['Snake', 'Fish', 'Chicken', 'Duck']	159	(C) Chicken
plotQA	video/1_plotQA	748.0	movie101_63.mp4	What are the group of people in white blowing?	Bull horn	['Suona', 'Trumpet', 'Bull horn', 'Flute']	521	(C) Bull horn
plotQA	video/1_plotQA	605.0	movie101_58.mp4	At the end of the video, what happens to the van?	Rolls down the cliff and catches fire	['Rolls down the cliff and catches fire', 'Breaks down', 'Collides with another car', 'Gets driven away']	3	(A) Rolls down the cliff and catches fire
plotQA	video/1_plotQA	605.0	movie101_58.mp4	What is the man's reaction after the reporter asks several questions in a row?	Gets angry and ends the interview	['Pleased', 'Happy', 'Gets angry and ends the interview', 'Sad']	371	(C) Gets angry and ends the interview
plotQA	video/1_plotQA	605.0	movie101_58.mp4	What is the little boy doing at the beginning of the video?	Drawing	['Drawing', 'Writing', 'Playing piano', 'Reading']	392	(A) Drawing
plotQA	video/1_plotQA	328.0	movie101_53.mp4	At the beginning of the video, why does the woman in red change from long hair to short hair?	The man in the blue jacket takes off the woman's wig	"['The woman takes off her own wig', 'The woman cuts her own hair', ""The man in the blue jacket takes off the woman's wig"", ""The man in the blue jacket cuts the woman's hair short""]"	4	(D) The man in the blue jacket cuts the woman's hair short
plotQA	video/1_plotQA	328.0	movie101_53.mp4	At the end of the video, what is the activity of the man in the blue jacket after entering the room?	Sitting alone on the bed making a phone call	['Sitting alone at the table drinking', 'Sitting alone at the table eating', 'Sitting alone on the bed making a phone call', 'Sitting alone at the table playing on the computer']	161	(C) Sitting alone on the bed making a phone call
plotQA	video/1_plotQA	328.0	movie101_53.mp4	The change in indoor activities of the man in the blue jacket and the woman in the red sweater	Frolicking and messing around turns into hugging and kissing	['Frolicking and messing around turns into hugging and kissing', 'Drinking together', 'Watching TV together', 'Eating together']	523	(A) Frolicking and messing around turns into hugging and kissing
plotQA	video/1_plotQA	457.0	movie101_37.mp4	How many people are at the staircase at the beginning of the video?	Two	['One', 'Two', 'Three', 'Four']	5	(B) Two
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the clothes of the person wearing a floral hat at the staircase in the video?	Green	['Purple', 'Blue', 'Red', 'Green']	85	(D) Green
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the clothes of the person wearing a plastic bag on their head at the staircase at the beginning of the video?	Red	['White', 'Black', 'Red', 'Green']	188	(C) Red
plotQA	video/1_plotQA	457.0	movie101_37.mp4	What color is the car parked on the road in the video?	Orange	['Orange', 'Blue', 'Green', 'Purple']	256	(A) Orange
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why are the woman in blue clothing and the man with a scar on his face surrounded by armed personnel?	Because they triggered the alarm device	['Because they had a fight', 'Because they killed someone', 'Because they triggered the alarm device', 'Because they robbed']	6	(C) Because they triggered the alarm device
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why does the woman in blue clothing want to enter the house?	To operate the computer device in the house	['To eat', 'To sleep', 'To play games', 'To operate the computer device in the house']	34	(D) To operate the computer device in the house
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why does the woman in leather clothing want to attract attention?	To help another woman sneak into the house	['To complete a mission', 'For fun', 'To help another woman sneak into the house', 'Unintentionally']	397	(A) To complete a mission
plotQA	video/1_plotQA	322.0	movie101_112.mp4	What happened after the person with the yellow stripe arrived at the camp?	He started a fight with the person holding the pipe	['He went to eat', 'He went hunting', 'He went to war', 'He started a fight with the person holding the pipe']	7	(D) He started a fight with the person holding the pipe
plotQA	video/1_plotQA	322.0	movie101_112.mp4	How did the person lying in the bed in the camp get there?	He was brought to the camp by horse	['He was carried there', 'He ran there', 'He walked there', 'He was brought to the camp by horse']	374	(A) He was carried there
plotQA	video/1_plotQA	322.0	movie101_112.mp4	What is the final fate of the person holding the pipe?	He was shot dead by an arrow	['He was shot dead by an arrow', 'He escaped', 'He was captured', 'He was killed by a sword']	525	(A) He was shot dead by an arrow
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Why does the cartoon mouse hide in the water?	To avoid the bee	['To learn swimming', 'To avoid the bee', 'To hide from the cartoon dog', 'For fun']	8	(B) To avoid the bee
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Whose pink handkerchief fell?	The white cartoon female cat's	"[""The cartoon dog's"", ""The white cartoon female cat's"", ""The cartoon turtle's"", ""The cartoon mouse's""]"	164	(B) The white cartoon female cat's
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	What is inside the white golf ball?	A bomb	['Chocolate', 'A wooden ball', 'A bomb', 'Nothing']	375	(C) A bomb
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Why is the cartoon cat sitting in front of the window?	To watch the white cartoon female cat	['To enjoy the view', 'To watch the white cartoon female cat', 'Feeling lost', 'To make a phone call']	527	(B) To watch the white cartoon female cat
topic_reasoning	video/7_topic_reasoning	306.0	tomjerry_7.mp4	Who are the characters in the video?	Two cartoon cats and one cartoon mouse	['Two cartoon cats', 'Two cartoon cats and two cartoon mice', 'Two cartoon cats and one cartoon mouse', 'One cartoon cat and one cartoon mouse']	1942	(C) Two cartoon cats and one cartoon mouse
